"","year","seas","fleet","catch","catch_se"
"66",2023,2,17,0,0.1
"67",2023,3,17,0,0.1
"68",2023,4,17,490.94904486866,0.1
"69",2023,1,18,191.388,0.1
"70",2023,2,18,57.8802,0.1
"71",2023,3,18,0.317519332836421,0.1
"72",2023,4,18,185.182276927088,0.1
"73",2023,1,19,0,0.1
"74",2023,2,19,1051.84,0.1
"75",2023,3,19,0,0.1
"76",2023,4,19,0,0.1
"77",2023,1,20,0,0.1
"78",2023,2,20,0,0.1
"79",2023,3,20,0,0.1
"80",2023,4,20,0,0.1
"81",2023,1,21,299.733,0.1
"82",2023,2,21,41.941,0.1
"83",2023,3,21,3552.03804261036,0.1
"84",2023,4,21,16.0292429910721,0.1
"85",2023,1,22,733.836,0.1
"86",2023,2,22,299.562,0.1
"87",2023,3,22,3.70416,0.1
"88",2023,4,22,440.659,0.1
"89",2023,1,23,0,0.1
"90",2023,2,23,0,0.1
"91",2023,3,23,0,0.1
"92",2023,4,23,0,0.1
"93",2023,1,24,0,0.1
"94",2023,2,24,212.303,0.1
"95",2023,3,24,219.922577170175,0.1
"96",2023,4,24,0,0.1
"97",2023,1,25,810.345,0.1
"98",2023,2,25,0,0.1
"99",2023,3,25,0,0.1
"100",2023,4,25,14.5773640232353,0.1
"101",2023,1,26,3.48534,0.1
"102",2023,2,26,1.53531,0.1
"103",2023,3,26,0,0.1
"104",2023,4,26,8.54755,0.1
"110",2024,1,1,0,0.1
"210",2024,2,1,0,0.1
"531",2024,3,1,0,0.1
"541",2024,4,1,0,0.1
"310",2024,1,2,49.8076848451311,0.1
"410",2024,2,2,118.637326103223,0.1
"551",2024,3,2,543.317283748184,0.1
"561",2024,4,2,843.45669297485,0.1
"510",2024,1,3,15.5560936349003,0.1
"610",2024,2,3,4.01188170136142,0.1
"571",2024,3,3,38.941705544794,0.1
"581",2024,4,3,2090.09487172492,0.1
"710",2024,1,4,0.714811884429651,0.1
"810",2024,2,4,0,0.1
"591",2024,3,4,0,0.1
"601",2024,4,4,787.544402913813,0.1
"910",2024,1,5,0,0.1
"105",2024,2,5,0,0.1
"611",2024,3,5,0,0.1
"621",2024,4,5,1145.74200112386,0.1
"111",2024,1,6,1392.78068011962,0.1
"121",2024,2,6,0,0.1
"631",2024,3,6,0,0.1
"641",2024,4,6,0,0.1
"131",2024,1,7,188.584136315565,0.1
"141",2024,2,7,0,0.1
"651",2024,3,7,0,0.1
"661",2024,4,7,1336.07731471062,0.1
"151",2024,1,8,67.708071599402,0.1
"161",2024,2,8,0,0.1
"671",2024,3,8,65.7696426995133,0.1
"681",2024,4,8,44.4377050963484,0.1
"171",2024,1,9,0,0.1
"181",2024,2,9,253.962961297061,0.1
"691",2024,3,9,0,0.1
"701",2024,4,9,0,0.1
"191",2024,1,10,5.99083016276688,0.1
"201",2024,2,10,0,0.1
"711",2024,3,10,0,0.1
"721",2024,4,10,596.510763345921,0.1
"211",2024,1,11,145.006414043893,0.1
"221",2024,2,11,18.9322535648805,0.1
"731",2024,3,11,750.712162927679,0.1
"741",2024,4,11,201.120409512033,0.1
"231",2024,1,12,0,0.1
"241",2024,2,12,269.470588087033,0.1
"751",2024,3,12,479.343858814461,0.1
"761",2024,4,12,276.019191918618,0.1
"251",2024,1,13,44.9311026815668,0.1
"261",2024,2,13,0,0.1
"771",2024,3,13,0,0.1
"781",2024,4,13,0,0.1
"271",2024,1,14,46.7081891471235,0.1
"281",2024,2,14,0,0.1
"791",2024,3,14,0,0.1
"801",2024,4,14,0,0.1
"291",2024,1,15,8.53418571755115,0.1
"301",2024,2,15,3.64974284447715,0.1
"811",2024,3,15,36.80498649367,0.1
"821",2024,4,15,36.7855296917634,0.1
"311",2024,1,16,186.918739861117,0.1
"321",2024,2,16,160.107771818393,0.1
"831",2024,3,16,832.118503796242,0.1
"841",2024,4,16,0,0.1
"331",2024,1,17,0,0.1
"341",2024,2,17,0,0.1
"851",2024,3,17,0,0.1
"861",2024,4,17,660.690312747477,0.1
"351",2024,1,18,208.114349564716,0.1
"361",2024,2,18,62.9386386590364,0.1
"871",2024,3,18,0.427298819516365,0.1
"881",2024,4,18,249.207402961704,0.1
"371",2024,1,19,0,0.1
"381",2024,2,19,1143.76553099542,0.1
"891",2024,3,19,0,0.1
"901",2024,4,19,0,0.1
"391",2024,1,20,0,0.1
"401",2024,2,20,0,0.1
"911",2024,3,20,0,0.1
"921",2024,4,20,0,0.1
"411",2024,1,21,313.118684139925,0.1
"421",2024,2,21,43.8140302586389,0.1
"931",2024,3,21,6860.6370448482,0.1
"941",2024,4,21,30.9599213032656,0.1
"431",2024,1,22,733.836,0.1
"441",2024,2,22,299.562,0.1
"951",2024,3,22,3.70416,0.1
"961",2024,4,22,440.659,0.1
"451",2024,1,23,0,0.1
"461",2024,2,23,0,0.1
"971",2024,3,23,0,0.1
"981",2024,4,23,0,0.1
"471",2024,1,24,0,0.1
"481",2024,2,24,214.808922192336,0.1
"991",2024,3,24,297.801652372087,0.1
"1001",2024,4,24,0,0.1
"491",2024,1,25,69.1411366142538,0.1
"501",2024,2,25,0,0.1
"1011",2024,3,25,0,0.1
"1021",2024,4,25,19.7928348806647,0.1
"511",2024,1,26,3.48534,0.1
"521",2024,2,26,1.53531,0.1
"1031",2024,3,26,0,0.1
"1041",2024,4,26,8.54755,0.1
